Track,Race,RaceDate,Time,Gait,Purse,TCR,FieldStrength,FieldSize,Below2.0_Count,Below3.0_Count,Below5.0_Count,Cluster_2.5to6_Count,Odds_SD,Top5_Range,Odds_Range,RaceType,CompetitiveClusterFlag,FavOdds,FavPostRTG_Fast,DominancePenalty,CompetitivenessIndex,LikelySecond_PP,LikelySecond_Horse,LikelySecondScore_Top,LikelySecondMatrix_Top3,Exacta,Exacta_12,Exacta_123,Exacta_Top4,Exacta_Top5,Exacta_Top6
PCD,1,2026-03-07,1:00 AM,PACE,15500.0,89.0,175.42857142857144,7,0,0,3,3,19.258,3.321,56.869,Wide Open,True,4.12,-1.0,0.0,59.0,1,Hesa Kingslayer N,6.0,1(6); 2(3); 6(3),"7,2,3,4,1",,,"7,2,3,4","7,2,3,4,1","7,2,3,4,1,5"
PCD,10,2026-03-07,3:42 AM,PACE,35000.0,88.0,172.375,8,0,1,2,1,14.958,20.918,39.021,Wide Open,False,2.119,3.0,0.0,34.0,2,Twiggs Pub,3.0,2(3); 4(2); 3(2),"5,4,3,1,8",,,"5,4,3,1","5,4,3,1,8","5,4,3,1,8,6"
PCD,11,2026-03-07,4:00 AM,PACE,15000.0,89.0,172.25,8,1,1,2,1,18.624,15.95,61.758,Chalk,False,1.625,3.0,16.89,17.1,3,Kopi Luwak,2.0,3(2); 4(2); 2(2),"5,6,3,4,7",,,"5,6,3,4","5,6,3,4,7","5,6,3,4,7,2"
PCD,12,2026-03-07,4:18 AM,PACE,8500.0,82.0,163.75,8,0,0,2,2,31.004,23.273,91.3,Wide Open,False,3.811,3.0,0.0,46.0,3,Hello Gorgeous,4.0,3(4); 5(4); 2(3),"4,2,3,7,1",,,"4,2,3,7","4,2,3,7,1","4,2,3,7,1,5"
PCD,2,2026-03-07,1:18 AM,PACE,11000.0,85.0,169.75,8,0,0,1,2,23.739,7.919,59.555,Wide Open,False,3.828,0.0,0.0,41.0,5,Points North,5.0,5(5); 2(4); 4(3),"6,5,2,3,4",,,"6,5,2,3","6,5,2,3,4","6,5,2,3,4,7"
PCD,3,2026-03-07,1:36 AM,TROT,17500.0,88.0,169.625,8,1,1,3,2,20.663,11.692,61.789,Wide Open,False,1.594,0.0,12.19,38.8,5,Rose Run Alex,5.0,5(5); 4(4); 1(4),"6,3,4,8,1",,,"6,3,4,8","6,3,4,8,1","6,3,4,8,1,5"
PCD,4,2026-03-07,1:54 AM,PACE,14000.0,84.0,166.625,8,0,0,1,1,10.122,8.28,30.108,Chalk,False,3.71,3.0,0.0,29.0,4,River Ness,4.0,4(4); 2(3); 3(2),"5,7,4,3,8",,,"5,7,4,3","5,7,4,3,8","5,7,4,3,8,6"
PCD,5,2026-03-07,2:12 AM,TROT,17500.0,85.0,163.85714285714283,8,1,1,1,1,30.696,14.183,93.517,Chalk,False,1.594,-1.0,10.16,18.8,5,Tequila Talking As,4.0,5(4); 4(3); 3(3),"7,1,6,4,5",,,"7,1,6,4","7,1,6,4,5","7,1,6,4,5,3"
PCD,6,2026-03-07,2:30 AM,PACE,20000.0,91.0,181.125,8,1,2,3,2,29.132,6.929,93.317,Wide Open,False,1.794,3.0,9.28,41.7,4,Mea Culpa A,6.0,4(6); 3(3); 8(2),"5,3,8,1,2",,,"5,3,8,1","5,3,8,1,2","5,3,8,1,2,4"
PCD,7,2026-03-07,2:48 AM,TROT,13000.0,85.0,168.625,8,0,0,4,4,20.229,23.153,59.899,Balanced Competitive,True,3.484,3.0,0.0,80.0,1,Doc Nixon,5.0,1(5); 3(4); 5(3),"4,3,5,2,6",,,"4,3,5,2","4,3,5,2,6","4,3,5,2,6,8"
PCD,8,2026-03-07,3:06 AM,PACE,15500.0,85.0,169.875,8,0,0,1,2,7.765,5.287,22.826,Wide Open,False,3.811,0.0,0.0,41.0,4,Pirates Code,3.0,4(3); 3(3); 5(3),"2,8,1,7,4",,,"2,8,1,7","2,8,1,7,4","2,8,1,7,4,3"
