RaceDate,SourceFile,Track,Race,Horse,PP,FormString,LayoffFlag
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,5,Americanfirewater,3,1744-5847X8-6,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,5,Seeing Eye Single,4,143?-86X3-66-5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,5,Sugar Shock,5,3348?77-74-6,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,5,Mr Bad Rock,6,4653X461046-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,5,Mcwiz,7,862107-3928-8,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,5,A J Morelli,8,54129X98X9X77,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,5,Grigoriev,9,16-878894-77,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,5,Sugar Me N,10,9-148106-787X2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,6,Alta Revelry N,5,356-232133-5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,6,Surreal Ideal,8,351-1X1111-11,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,7,Win Lous Or Draw,2,264-3-4325-10-1,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,7,Mossy'S Dragon,8,654625612-3,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,8,Charlieboy,1,46?810X10-1-62-1,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,8,Search The Sea,2,3-910106-55-3-66,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,8,Mayhem Like Me,3,28X21847-6-84,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,8,Sectionlinetwister,4,98-6-61546-29,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,8,Worthabuck,5,510X849-9-314-5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,8,Moved Bythe Spirit,7,7-2521X53X8-12,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,8,Pullingthestrings,9,43-619611-55,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,9,Bruce'S Vo N Coke,2,83-8X?X3358X2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,9,Western Beachboy,3,793638-3-67-1,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,9,Juju Hanover,6,443X47-8X210X43,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,9,Leaving A Legend,9,11948510-69-9,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,10,Fox Valley Sampson,1,776X226472-6,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,10,Guns Blazin',3,152353221-6,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,10,Mr Ds Rock,5,2101?34855-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,10,Alta Engen A,6,78-7?15-1-13-1,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,10,One Corona To Go,7,91221-614-63,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,10,Nome Hanover,8,234-9-27934-2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,10,Odds On Pick Six,10,?-7614-5-15X84,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,11,Flip My Chip,1,252476-78X81,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,11,Trosa A,3,5-9-574X398-11,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,11,Bronx Seelster,4,51-7439187-8,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,11,Crunch Time A,5,4-2211125-64,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,11,K Man Jack,6,34-4-548-226-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,12,Seaside Delight,1,837X311668-2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,12,Trip Hammer,4,85-163-682-33,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,12,De La Hoya Hanover,7,9166-28-8-?,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,12,Fear The Image,8,21X9105559-7-10,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,12,Velocity Poprocks,9,776X756-18X98,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,13,Let It Ride N,2,243335657-2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,13,Lakeside Buddy,5,2110101393-85,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,13,Keene Idyllic,6,2-83632845-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,13,Out To Get Lucky,8,357577-?X6-41,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,14,The Bird Dance N,4,18X4112548-9,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,14,Downbythedanceclub,6,74X1135584-1,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,14,Risen Man,9,7541106264-2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,14,Fear The Hate,10,113X5X848-3-4-3,2UP
