Track,Race,RaceDate,Time,Gait,Purse,TCR,FieldStrength,FieldSize,Below2.0_Count,Below3.0_Count,Below5.0_Count,Cluster_2.5to6_Count,Odds_SD,Top5_Range,Odds_Range,RaceType,CompetitiveClusterFlag,FavOdds,FavPostRTG_Fast,DominancePenalty,CompetitivenessIndex,LikelySecond_PP,LikelySecond_Horse,LikelySecondScore_Top,LikelySecondMatrix_Top3,Exacta,Exacta_12,Exacta_123,Exacta_Top4,Exacta_Top5,Exacta_Top6
PCD,1,2025-11-22,1:00 AM,PACE,15000.0,84.0,168.0,8,0,1,3,3,31.254,15.166,92.198,Wide Open,True,2.913,3.0,0.0,63.0,4,Blowin Smoke,4.0,4(4); 2(3); 1(3),"5,2,4,8,3",,,"5,2,4,8","5,2,4,8,3","5,2,4,8,3,1"
PCD,10,2025-11-22,3:42 AM,PACE,13000.0,90.0,178.14285714285714,7,1,1,3,2,8.365,11.987,25.389,Wide Open,False,1.695,3.0,13.74,33.3,2,Congressional,4.0,2(4); 4(4); 7(2),"5,7,1,2,6",,,"5,7,1,2","5,7,1,2,6","5,7,1,2,6,3"
PCD,11,2025-11-22,4:00 AM,PACE,7000.0,84.0,166.0,8,0,0,0,1,19.771,2.849,54.994,Chalk,False,5.995,-1.0,0.0,24.0,5,Madelines Blk Jack,6.0,5(6); 4(4); 1(4),"8,4,3,7,5",,,"8,4,3,7","8,4,3,7,5","8,4,3,7,5,2"
PCD,12,2025-11-22,4:18 AM,PACE,10000.0,88.0,173.25,8,0,0,1,1,18.501,10.168,59.526,Chalk,False,3.856,3.0,0.0,29.0,4,Aces Or Bettor,4.0,4(4); 3(3); 2(3),"5,3,8,7,4",,,"5,3,8,7","5,3,8,7,4","5,3,8,7,4,6"
PCD,13,2025-11-22,4:36 AM,PACE,12000.0,89.0,176.5,8,0,1,2,2,28.056,19.314,92.198,Wide Open,False,2.913,3.0,0.0,46.0,5,Oakwood Heymiki Ir,6.0,5(6); 1(3); 8(2),"4,5,7,8,3",,,"4,5,7,8","4,5,7,8,3","4,5,7,8,3,1"
PCD,14,2025-11-22,4:54 AM,TROT,12000.0,88.0,171.0,8,0,1,2,1,31.813,12.653,93.051,Wide Open,False,2.06,0.0,0.0,34.0,5,Fashion Cantab,4.0,5(4); 4(4); 1(3),"3,1,5,8,7",,,"3,1,5,8","3,1,5,8,7","3,1,5,8,7,4"
PCD,2,2025-11-22,1:18 AM,PACE,11000.0,82.0,162.375,8,0,1,2,2,29.456,8.543,92.122,Wide Open,False,2.989,0.0,0.0,46.0,4,Puzzling,4.0,4(4); 5(4); 1(3),"3,2,7,4,6",,,"3,2,7,4","3,2,7,4,6","3,2,7,4,6,1"
PCD,3,2025-11-22,1:36 AM,TROT,10000.0,76.0,149.77777777777777,8,1,1,3,2,20.215,32.024,61.589,Wide Open,False,1.794,3.0,9.28,41.7,4,My Big Kadillac,4.0,4(4); 3(3); 2(3),"5,8,3,6,2",,,"5,8,3,6","5,8,3,6,2","5,8,3,6,2,1"
PCD,4,2025-11-22,1:54 AM,PACE,16000.0,84.0,165.125,8,2,2,2,0,32.756,32.224,93.517,Chalk,False,1.594,0.0,12.19,9.8,5,Captain Luffy,4.0,5(4); 4(4); 3(2),"6,5,4,3,7","6,5",,"6,5,4,3","6,5,4,3,7","6,5,4,3,7,8"
PCD,5,2025-11-22,2:12 AM,TROT,17500.0,83.0,162.375,8,0,1,4,3,29.838,12.952,92.828,Wide Open,True,2.283,3.0,0.0,68.0,4,Hey Dude,5.0,4(5); 1(3); 3(2),"5,3,2,4,7",,,"5,3,2,4","5,3,2,4,7","5,3,2,4,7,1"
PCD,6,2025-11-22,2:30 AM,PACE,7000.0,78.0,156.375,8,0,1,1,2,26.642,15.109,60.738,Wide Open,False,2.644,2.0,0.0,41.0,4,We Be Jammin,4.0,4(4); 5(4); 2(4),"1,4,3,6,8",,,"1,4,3,6","1,4,3,6,8","1,4,3,6,8,5"
PCD,7,2025-11-22,2:48 AM,PACE,11000.0,82.0,160.875,8,0,0,3,3,23.075,22.81,59.555,Wide Open,True,3.828,0.0,0.0,63.0,4,Boozin N Cruisin,6.0,4(6); 5(4); 6(3),"3,5,1,6,4",,,"3,5,1,6","3,5,1,6,4","3,5,1,6,4,2"
PCD,8,2025-11-22,3:06 AM,TROT,7000.0,80.0,157.75,8,0,0,2,2,18.59,12.37,59.571,Wide Open,False,3.811,0.0,0.0,46.0,4,White Tiger,4.0,4(4); 3(4); 1(3),"2,5,6,1,4",,,"2,5,6,1","2,5,6,1,4","2,5,6,1,4,7"
PCD,9,2025-11-22,3:24 AM,PACE,15000.0,83.0,165.125,8,1,2,3,3,32.99,3.915,93.317,Wide Open,False,1.794,3.0,9.28,53.7,4,Pyrenees Hanover,4.0,4(4); 1(3); 3(2),"5,1,3,8,6",,,"5,1,3,8","5,1,3,8,6","5,1,3,8,6,2"
WBSB,1,2025-11-22,6:35 AM,PACE,18000.0,68.0,128.88888888888889,10,0,0,1,1,33.311,18.612,91.175,Wide Open,False,3.936,0.0,0.0,37.0,2,Late For Coffee,5.0,2(5); 3(4); 6(4),"7,5,2,8,10",,,"7,5,2,8","7,5,2,8,10","7,5,2,8,10,3"
WBSB,10,2025-11-22,10:12 AM,PACE,20000.0,76.0,147.44444444444446,9,0,1,2,2,28.809,24.463,93.007,Wide Open,False,2.104,3.0,0.0,50.0,4,Docs Earnest,4.0,4(4); 3(3); 2(2),"6,2,5,9,7",,,"6,2,5,9","6,2,5,9,7","6,2,5,9,7,3"
WBSB,11,2025-11-22,10:35 AM,PACE,16000.0,86.0,168.4,10,0,0,0,1,25.961,10.65,58.255,Wide Open,False,5.128,0.0,0.0,32.0,5,Sergeant Slaughter,4.0,5(4); 6(3); 2(2),"4,10,7,5,6",,,"4,10,7,5","4,10,7,5,6","4,10,7,5,6,1"
WBSB,2,2025-11-22,7:08 AM,PACE,22000.0,86.0,163.625,8,0,0,2,3,14.572,11.326,38.819,Wide Open,True,3.114,-1.0,0.0,58.0,1,Bruno No No No,4.0,1(4); 5(4); 2(4),"8,1,5,6,2",,,"8,1,5,6","8,1,5,6,2","8,1,5,6,2,4"
WBSB,3,2025-11-22,7:31 AM,PACE,19000.0,69.0,131.77777777777777,9,0,0,2,2,14.739,7.078,36.686,Wide Open,False,4.454,2.0,0.0,50.0,6,Stroker,4.0,6(4); 4(4); 1(3),"5,2,7,9,1",,,"5,2,7,9","5,2,7,9,1","5,2,7,9,1,6"
WBSB,4,2025-11-22,7:54 AM,PACE,16000.0,82.0,159.9,10,0,0,2,2,21.752,23.014,60.005,Wide Open,False,3.378,-1.0,0.0,54.0,5,Wildriverbumblebee,6.0,5(6); 4(4); 6(3),"1,8,3,6,9",,,"1,8,3,6","1,8,3,6,9","1,8,3,6,9,2"
WBSB,5,2025-11-22,8:17 AM,PACE,12000.0,84.0,161.0,10,0,0,2,2,24.246,15.346,59.386,Wide Open,False,3.997,3.0,0.0,54.0,4,Legion Seelster,5.0,4(5); 5(4); 2(3),"6,7,4,5,2",,,"6,7,4,5","6,7,4,5,2","6,7,4,5,2,3"
WBSB,6,2025-11-22,8:40 AM,TROT,47200.0,73.0,141.72727272727275,11,1,3,4,2,36.5,4.201,93.317,Wide Open,False,1.794,2.0,8.25,59.8,6,Sapphire Steve,5.0,6(5); 2(5); 1(4),"5,3,6,7,1",,,"5,3,6,7","5,3,6,7,1","5,3,6,7,1,10"
WBSB,7,2025-11-22,9:03 AM,PACE,22000.0,88.0,171.7,10,1,1,2,1,33.265,14.183,93.517,Chalk,False,1.594,3.0,18.28,23.7,5,Wannabeabigstar,5.0,5(5); 4(3); 3(3),"6,7,5,4,9",,,"6,7,5,4","6,7,5,4,9","6,7,5,4,9,8"
WBSB,8,2025-11-22,9:26 AM,PACE,50200.0,77.0,149.0909090909091,11,0,1,2,3,33.399,11.528,92.198,Balanced Competitive,True,2.913,0.0,0.0,70.0,5,Devils Wish,4.0,5(4); 1(4); 6(3),"4,5,10,7,6",,,"4,5,10,7","4,5,10,7,6","4,5,10,7,6,3"
WBSB,9,2025-11-22,9:49 AM,PACE,40000.0,93.0,181.57142857142856,7,1,1,2,1,9.993,14.183,32.224,Chalk,False,1.594,2.0,16.25,13.7,4,Remember The Alamo,3.0,4(3); 6(3); 2(3),"5,4,1,6,7",,,"5,4,1,6","5,4,1,6,7","5,4,1,6,7,2"
